id,user,course,difficulty,workload,final_grade,semesters_taken,created_at,updated_at
108,16,234128,4.0,6.0,70.0,,2020-10-22 14:52:23.604615+00:00,2020-10-22 14:52:23.604657+00:00
109,16,104013,4.0,6.0,90.0,,2020-10-22 14:53:00.132020+00:00,2020-10-22 14:53:00.132069+00:00
110,16,104035,3.5,5.5,85.0,,2020-10-22 14:53:36.139446+00:00,2020-10-22 14:53:36.139492+00:00
111,17,104173,8.5,5.5,100.0,,2020-10-22 14:54:14.433326+00:00,2020-10-22 14:54:14.433366+00:00
112,17,104032,9.0,10.0,90.0,,2020-10-22 14:54:43.499935+00:00,2020-10-22 14:54:43.499983+00:00
113,17,104295,10.0,8.5,86.0,,2020-10-22 14:55:02.303240+00:00,2020-10-22 14:55:02.303271+00:00
114,17,104031,6.0,8.5,89.0,,2020-10-22 14:55:21.378867+00:00,2020-10-22 14:55:21.378927+00:00
115,17,104166,7.5,8.5,90.0,,2020-10-22 14:55:53.204130+00:00,2020-10-22 14:55:53.204175+00:00
116,17,234218,7.0,9.5,89.0,,2020-10-22 14:56:14.508792+00:00,2020-10-22 14:56:14.508846+00:00
117,17,234292,3.0,2.0,86.0,,2020-10-22 14:56:31.298161+00:00,2020-10-22 14:56:31.298213+00:00
118,17,234114,3.0,3.0,80.0,,2020-10-22 14:57:08.864756+00:00,2020-10-22 14:57:08.864786+00:00
119,17,114071,6.5,7.5,81.0,,2020-10-22 14:57:39.003855+00:00,2020-10-22 14:57:39.003909+00:00
120,17,114075,10.0,9.0,79.0,,2020-10-22 14:58:27.719520+00:00,2020-10-22 14:58:27.719544+00:00
121,17,44252,3.0,3.5,87.0,,2020-10-22 14:58:56.879652+00:00,2020-10-22 14:58:56.879692+00:00
123,20,104016,6.0,6.0,,,2020-10-22 17:22:23.379776+00:00,2020-10-22 17:22:23.379796+00:00
124,20,125001,4.5,4.0,,,2020-10-22 17:23:04.449994+00:00,2020-10-22 17:23:04.450112+00:00
125,20,104018,7.5,7.0,,,2020-10-22 17:23:36.335847+00:00,2020-10-22 17:23:36.335885+00:00
126,20,104013,5.5,6.0,,,2020-10-22 17:24:06.848981+00:00,2020-10-22 17:24:06.849036+00:00
127,20,104035,6.5,7.0,,,2020-10-22 17:24:28.392816+00:00,2020-10-22 17:24:28.392859+00:00
128,20,114074,8.0,7.5,,,2020-10-22 17:24:55.649036+00:00,2020-10-22 17:24:55.649083+00:00
129,20,114086,5.0,4.5,,,2020-10-22 17:25:51.191730+00:00,2020-10-22 17:25:51.191770+00:00
130,20,106413,7.0,7.0,,,2020-10-22 17:26:19.484039+00:00,2020-10-22 17:26:19.484060+00:00
131,20,114101,8.0,7.5,,,2020-10-22 17:26:43.379891+00:00,2020-10-22 17:26:43.379921+00:00
132,20,314011,5.0,4.5,,,2020-10-22 17:27:08.991800+00:00,2020-10-22 17:27:08.991822+00:00
133,21,104195,9.0,9.0,95.0,,2020-10-22 17:27:32.809841+00:00,2020-10-22 17:27:32.809881+00:00
134,20,104215,3.5,3.0,,,2020-10-22 17:28:02.512580+00:00,2020-10-22 17:28:02.512617+00:00
135,21,104166,6.0,4.5,,,2020-10-22 17:28:02.728419+00:00,2020-10-22 17:28:02.728461+00:00
136,21,114074,9.5,9.5,93.0,,2020-10-22 17:28:44.440060+00:00,2020-10-22 17:28:44.440152+00:00
137,22,104131,3.5,3.0,99.0,,2020-10-22 20:25:15.627977+00:00,2020-10-22 20:25:15.628027+00:00
138,22,234112,4.5,3.5,89.0,,2020-10-22 20:25:59.292306+00:00,2020-10-22 20:25:59.292334+00:00
139,22,14008,4.0,4.0,80.0,,2020-10-22 20:26:32.903508+00:00,2020-10-22 20:27:01.698299+00:00
140,22,104003,8.5,7.5,68.0,,2020-10-22 20:27:49.487622+00:00,2020-10-22 20:27:49.487641+00:00
141,22,104019,8.5,8.5,90.0,,2020-10-22 20:31:44.252931+00:00,2020-10-22 20:31:44.252974+00:00
142,22,125001,10.0,8.0,63.0,,2020-10-22 20:32:25.021469+00:00,2020-10-22 20:32:25.021495+00:00
143,23,44105,7.0,8.0,,,2020-10-22 21:13:44.561913+00:00,2020-10-22 21:13:44.561939+00:00
144,23,44252,9.0,7.0,,,2020-10-22 21:14:14.328919+00:00,2020-10-22 21:14:14.328957+00:00
145,23,104134,6.5,3.0,,,2020-10-22 21:14:47.041120+00:00,2020-10-22 21:14:47.041164+00:00
146,23,234124,10.0,9.5,,,2020-10-22 21:15:27.032021+00:00,2020-10-22 21:15:27.032042+00:00
147,23,234118,10.0,9.0,,,2020-10-22 21:15:47.114901+00:00,2020-10-22 21:15:47.114938+00:00
148,23,114071,10.0,7.0,,,2020-10-22 21:16:19.706057+00:00,2020-10-22 21:16:19.706075+00:00
149,23,114075,10.0,8.5,,,2020-10-22 21:16:40.419510+00:00,2020-10-22 21:16:40.419529+00:00
150,23,234141,8.0,4.0,,,2020-10-22 21:17:11.758787+00:00,2020-10-22 21:17:11.758808+00:00
151,24,104032,8.0,5.0,100.0,,2020-10-22 21:20:26.652383+00:00,2020-10-22 21:20:26.652405+00:00
152,24,104031,10.0,6.0,96.0,,2020-10-22 21:20:49.207563+00:00,2020-10-22 21:20:49.207583+00:00
153,24,104166,6.0,8.0,99.0,,2020-10-22 21:21:27.528404+00:00,2020-10-22 21:21:27.528423+00:00
154,24,234114,2.0,5.0,89.0,,2020-10-22 21:22:03.299425+00:00,2020-10-22 21:22:03.299459+00:00
155,24,234129,5.0,3.5,96.0,,2020-10-22 21:22:28.783199+00:00,2020-10-22 21:22:28.783240+00:00
156,24,324033,1.0,1.0,,,2020-10-22 21:22:45.919894+00:00,2020-10-22 21:22:45.919914+00:00
157,15,104031,7.0,6.5,79.0,,2020-10-23 05:07:39.772277+00:00,2020-10-23 05:07:39.772323+00:00
158,15,104166,9.0,7.5,79.0,,2020-10-23 05:08:25.325079+00:00,2020-10-23 05:08:25.325127+00:00
159,15,234114,2.0,3.0,94.0,,2020-10-23 05:09:04.114435+00:00,2020-10-23 05:09:04.114473+00:00
160,15,234129,7.0,1.0,76.0,,2020-10-23 05:10:07.415078+00:00,2020-10-23 05:10:07.415116+00:00
161,15,114071,6.0,6.0,98.0,,2020-10-23 05:10:49.095875+00:00,2020-10-23 05:10:49.095916+00:00
162,15,104134,5.0,6.0,82.0,,2020-10-23 05:11:38.588261+00:00,2020-10-23 05:11:38.588301+00:00
